,,,All Values Hourly - First Order,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,bld_height,ver_to_hor,bld_density,glazing_ratio,wall_u_value,,,,,,,,,,,,,,,,,,
1,0.031910761,0.531446841,0.20640722,-0.003113864,0.025204235,,,,,,,,,,,,,,,,,,
2,0.018729817,0.436717431,0.183957604,0.015295282,0.025079052,,,,,,,,,,,,,,,,,,
3,0.015702592,0.352772708,0.201307223,0.015346535,0.050530959,,,,,,,,,,,,,,,,,,
4,0.020495261,0.290222117,0.221926873,0.018573037,0.059502172,,,,,,,,,,,,,,,,,,
5,0.028461998,0.239222937,0.237918364,0.025141506,0.049382485,,,,,,,,,,,,,,,,,,
6,0.024069331,0.282752865,0.361018768,0.00517379,0.052418057,,,,,,,,,,,,,,,,,,
7,0.039884212,0.264887735,0.442420047,0.019443422,0.078094994,,,,,,,,,,,,,,,,,,
8,0.041711558,0.169886039,0.468129051,0.144436227,0.059695258,,,,,,,,,,,,,,,,,,
9,0.026774449,0.050960788,0.398479099,0.331959824,0.028190792,,,,,,,,,,,,,,,,,,
10,0.031971617,0.007347488,0.320634094,0.512572235,0.011055041,,,,,,,,,,,,,,,,,,
11,0.025073027,0.017985967,0.269197456,0.592078541,-0.002274325,,,,,,,,,,,,,,,,,,
12,0.019851355,0.044980861,0.204514443,0.601406821,-0.006446574,,,,,,,,,,,,,,,,,,
13,0.016899641,0.119976772,0.12871732,0.540028685,-0.002655074,,,,,,,,,,,,,,,,,,
14,0.020952014,0.203368024,0.11669916,0.498592412,0.011028565,,,,,,,,,,,,,,,,,,
15,0.037476745,0.255528476,0.14574742,0.382603308,0.025006192,,,,,,,,,,,,,,,,,,
16,0.068240543,0.351557117,0.154196057,0.223269003,0.037890806,,,,,,,,,,,,,,,,,,
17,0.123890663,0.410502505,0.156905389,0.069291053,0.066317436,,,,,,,,,,,,,,,,,,
18,0.24264034,0.20981088,0.262301851,0.007858436,0.099722982,,,,,,,,,,,,,,,,,,
19,0.286712793,0.044687875,0.379919185,0.00156456,0.076040587,,,,,,,,,,,,,,,,,,
20,0.266360232,0.010001679,0.354695991,-0.001060342,0.085142747,,,,,,,,,,,,,,,,,,
21,0.240522145,0.012192272,0.290522375,0.003844765,0.073142529,,,,,,,,,,,,,,,,,,
22,0.165779712,0.170621478,0.269896004,-0.005588462,0.068287541,,,,,,,,,,,,,,,,,,
23,0.068133067,0.339836742,0.188556517,0.004135669,0.003585179,,,,,,,,,,,,,,,,,,
24,0.056852958,0.486596516,0.158573117,0.00377552,0.000206711,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,All Values Hourly - Total Order,,,,,,,,,,,,,,,,,,,
,3.403185158,7.32014989,7.971788575,1.186328539,0.088853476,0.669385836,1.432576047,4.976622214,2.113567261,0.190047108,0.075489495,0.548095195,0.522807576,1.453689707,0.556374365,0.03569219,0.231625534,0.797063816,0.687129235,0.787290134,0.687445914,0.555130015,0.515437151
,bld_height,ver_to_hor,bld_density,urban_road_volumetric_heat_capacity,road_albedo,sensible_anthropogenic_heat,urban_road_thermal_conductivity,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,wall_albedo,roof_albedo,wall_emissivity,roof_emissivity,floor_height,roof_u_value
