6,"	2.93",17.58,0.43,0.26,2.7,795.45,438.49,0.355357635,
6,"	2.8",16.8,0.49,0.43,2.9,641.71,159.22,0.198793902,
5,"	2.88",14.4,0.49,0.43,2.7,715.58,147.96,0.171341223,
4,"	3",12,1.46,0.43,2.9,304.44,105.48,0.257318501,
5,"	2.77",13.85,0.38,0.43,2.9,703.52,157.47,0.18289411,
4,"	2.8",11.2,1.86,0.36,2.5,633.01,136.02,0.176872164,
5,"	2.8",14,1.55,0.43,2.7,660.49,159.6,0.194612786,
5,"	2.7",13.5,0,0.49,2.7,0,213.75,1,
5,"	2.7",13.5,1.46,0.43,2.7,566.69,197.2,0.258152352,
5,"	2.93",14.65,0.62,0.39,2.7,533.49,194.48,0.267153866,
9,"	3",27,0.34,1.22,2.7,1.383.70,476.2,#VALUE!,
6,"	2.92",17.52,1.46,0.51,2.7,535.24,250.77,0.319041742,
6,"	3.07",18.42,1.54,0.39,2,777.5,280.84,0.265358958,
7,"	2.89",20.23,0.46,0.52,2.7,920.75,269.61,0.226494506,
5,"	2.98",14.9,0.46,0.55,3.3,461.15,267.62,0.367221483,
6,"	2.92",17.52,0.37,0.32,3.3,652.42,224.37,0.25589936,
5,"	2.83",14.15,0.34,0.27,2.7,628.36,78.62,0.111205409,
7,"	2.8",19.6,0.34,0.27,3.3,692.22,219.58,0.240820355,
4,"	2.93",11.72,1.85,0.44,2.91,481.22,150.08,0.237731665,
5,"	2.8",14,0.49,0.49,2.7,567.42,191.25,0.252085887,
5,"	2.85",14.25,0.41,0.36,2,729.62,192.55,0.20880098,
5,"	2.85",14.25,0.41,0.36,2,729.62,192.55,0.20880098,
6,"	2.99",17.94,1.47,0.55,2.9,1.158.33,558.22,#VALUE!,
5,"	2.92",14.6,0.46,0.43,2.9,527.47,218.55,0.292954612,
5,"	3",15,0.49,0.43,2.9,497.77,192.08,0.278437341,
7,"	2.85",19.95,0.47,0.32,1.5,993.12,322.18,0.244947921,
7,"	2.8",19.6,0.49,0.44,2.9,892.72,231.58,0.205977052,
6,"	3.02",18.12,0,0.39,2.7,0,208.59,1,
5,"	2.9",14.5,1.5,0.5,2.7,615.12,231.31,0.273277176,
5,"	2.81",14.05,0.42,0.39,2.7,396.34,145.24,0.268178293,
4,"	2.8",11.2,0.67,0.39,1.7,500.25,112.43,0.183505256,
5,"	3.02",15.1,0.62,0.43,3,549.54,131.26,0.192802585,
5,"	2.98",14.9,0.68,0.45,2.9,641.14,236.97,0.269863685,
