,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,wall_albedo,roof_albedo,wall_emissivity,roof_emissivity,floor_height,roof_u_value,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,glazing_ratio,wall_u_value,window_u_value,window_sghc,infiltration_rate,chiller_cop,indoor_temp_set_point,equipment_load_density,lighting_load_density,occupancy_density,wall_albedo,roof_albedo,wall_emissivity,roof_emissivity,floor_height,roof_u_value,,,,,,,,,,,,,,,,,,,
1,0.129598219,0.129083386,0.026998619,4.97326E-05,0.093356904,0,0.020596107,0.000141768,6.89854E-05,7.58832E-05,0.000161602,5.07934E-05,0.000194257,-5.50207E-06,0.000117478,-0.000153663,,,,,,,,,,,,,,,,,,,
2,0.11263237,0.107646478,0.029709894,-0.000149053,0.092664803,0,0.022953064,0.000172692,0.000147275,0.000183654,-1.72818E-05,2.56744E-05,0.001021283,0.000113769,-1.80477E-05,0.001250058,,,,,,,,,,,,,,,,,,,
3,0.140931907,0.060135726,0.034686297,-2.50406E-05,0.112582523,0,0.021555148,-0.000145971,0.000112855,-2.81003E-05,0.000113727,2.79885E-05,0.000256303,-0.00018347,-0.000133673,-0.000244166,,,,,,,,,,,,,,,,,,,
4,0.143030456,0.071648372,0.043384134,0.000105912,0.105031585,0,0.019818466,-1.15662E-05,-0.000132255,4.50374E-05,6.94975E-05,1.3084E-05,-0.0001156,-0.00013854,2.19658E-05,0.00020722,,,,,,,,,,,,,,,,,,,
5,0.126440373,0.081344075,0.036461333,-2.95547E-05,0.109433937,0,0.017994098,-0.000239968,0.000189213,4.38824E-05,0.000139992,-1.7982E-05,0.000236756,0.000133037,0.000180138,-0.000156302,,,,,,,,,,,,,,,,,,,
6,0.133559864,0.08204716,0.035177506,-4.4507E-05,0.105601086,0,0.018085682,0.000457617,0.00012159,-0.000122776,-5.547E-05,-8.3498E-06,0.000306292,8.53591E-05,0.000126658,0.000698163,,,,,,,,,,,,,,,,,,,
7,0.127247106,0.099732016,0.037810615,0.000177584,0.099345362,0,0.018153591,7.704E-06,-0.00011451,4.91904E-05,5.342E-05,2.83285E-05,0.000144664,0.000473817,0.000253413,0.00035135,,,,,,,,,,,,,,,,,,,
8,0.00971084,0.520345413,0.121856221,0.013262643,0.025055006,0,-0.135088786,-0.000642978,0.005605959,-0.000514828,-0.011507745,0.019688951,-0.012542654,-0.001476647,-0.009901796,0.033165421,,,,,,,,,,,,,,,,,,,
9,0.027986009,0.049261963,0.038716751,0.014810252,0.099562504,0,0.022350985,0.000854372,0.000133753,-0.0001215,-0.000544898,0.006657759,0.000155788,-0.000223327,-2.0905E-05,0.001766248,,,,,,,,,,,,,,,,,,,
10,0.022612203,0.045884042,0.031013089,0.06372651,0.094044609,0,0.012526445,0.000686241,-9.07998E-05,-0.000267414,0.004049329,6.82599E-05,0.000298465,0.000152644,4.72547E-05,4.41066E-05,,,,,,,,,,,,,,,,,,,
11,0.072061185,0.079824215,0.030674835,0.029078064,0.077180444,0,0.02577177,0.000154564,9.02827E-05,8.03313E-05,0.00234781,0.000480806,0.001292958,0.000653533,-0.000280391,0.001060625,,,,,,,,,,,,,,,,,,,
12,0.023633218,0.053982673,0.028349499,0.054268325,0.086201605,0,0.021783882,-0.00018291,-0.000232817,-0.000427353,0.00404276,0.000803828,0.001023188,9.72142E-05,-0.000377229,0.00014273,,,,,,,,,,,,,,,,,,,
13,-0.002344898,0.063385742,0.025769814,0.034563721,0.100650797,0,0.027564495,0.000357694,8.39127E-05,0.000271141,0.001104333,0.001937955,-0.000595523,-0.00028757,0.000283832,-0.000142251,,,,,,,,,,,,,,,,,,,
14,0.145569452,0.027551899,0.01168503,0.06179919,0.057986565,0,0.012986428,-0.000342267,-0.000124123,2.79302E-06,0.001737917,0.012131181,0.00101435,0.00041721,0.00013348,0.00156813,,,,,,,,,,,,,,,,,,,
15,-0.014261003,0.070913118,0.023238605,0.00881952,0.127484075,0,0.026808186,0.00055645,0.000143021,-9.01185E-05,0.000372489,-0.000403587,6.08354E-05,-0.00030305,0.000260408,-0.000418263,,,,,,,,,,,,,,,,,,,
16,0.089441963,0.091027387,0.035804654,-0.000348586,0.097721631,0,0.030418065,-0.000222295,-2.63788E-05,-1.61161E-05,-0.000131318,-0.000248524,0.000305318,-7.66631E-05,5.68663E-05,5.46747E-05,,,,,,,,,,,,,,,,,,,
17,0.119531146,0.100125409,0.032556564,0.000119794,0.092821956,0,0.028856539,5.07482E-05,-4.93433E-05,2.91265E-06,-4.659E-06,-4.7433E-05,-3.10261E-05,-1.65287E-05,-6.29498E-05,3.69601E-05,,,,,,,,,,,,,,,,,,,
18,0.138179812,0.1037479,0.032683004,0.000265947,0.089019021,0,0.026581438,0.000197391,0.000221593,2.81307E-05,0.00032543,-3.41986E-05,-3.91318E-05,-5.58396E-05,2.32284E-05,0.000215736,,,,,,,,,,,,,,,,,,,
19,0.124506062,0.113855121,0.033379551,-7.20811E-05,0.092158158,0,0.024719707,9.38872E-05,9.5023E-06,1.38862E-06,6.42178E-05,1.86861E-06,-8.22001E-05,-3.078E-05,-5.77681E-05,4.02083E-05,,,,,,,,,,,,,,,,,,,
20,0.121411406,0.116438439,0.032279011,-6.21108E-05,0.091553703,0,0.022681858,0.000313522,0.000446177,2.99119E-05,0.000342897,-1.93072E-06,0.000450712,-0.000101164,2.32956E-05,0.000128824,,,,,,,,,,,,,,,,,,,
21,0.135644278,0.114502981,0.032453288,0.000112507,0.090620138,0,0.022523833,0.000266168,0.000131527,1.01951E-05,-9.05476E-05,4.04461E-05,0.000454524,2.74017E-05,0.000235949,4.06139E-05,,,,,,,,,,,,,,,,,,,
22,0.135849238,0.110303073,0.035233425,8.32819E-05,0.093028057,0,0.021620795,0.000159135,-5.28251E-05,6.29191E-05,-2.10165E-05,2.35468E-06,0.000203561,2.96709E-05,0.000177473,5.27374E-05,,,,,,,,,,,,,,,,,,,
23,0.130053819,0.116623998,0.035403779,4.76604E-05,0.091632205,0,0.020659648,0.000313291,0.00017236,-6.4319E-06,0.000164044,2.4117E-05,0.000250879,7.9062E-05,6.26841E-05,0.000197824,,,,,,,,,,,,,,,,,,,
24,0.127679791,0.119480518,0.037154902,-3.08157E-05,0.091681647,0,0.022568832,8.81076E-06,-0.000182907,-0.000207639,-3.93435E-05,-4.18576E-05,-1.51477E-05,-0.000124437,-6.5266E-05,0.000103467,,,,,,,,,,,,,,,,,,,
